date,interest_rate,col2,col3
20/01/1975,11.25,19.76691729,19.76691729
27/01/1975,11,19.51879699,19.51879699
10/02/1975,10.75,19.27067669,19.27067669
17/02/1975,10.5,19.02255639,19.02255639
10/03/1975,10.25,18.77443609,18.77443609
24/03/1975,10,18.52631579,18.52631579
21/04/1975,9.75,18.27819549,18.27819549
05/05/1975,10,18.03007519,18.03007519
28/07/1975,11,17.78195489,17.78195489
06/10/1975,12,17.53383459,17.53383459
17/11/1975,11.75,17.28571429,17.28571429
01/12/1975,11.5,17.03759398,17.03759398
29/12/1975,11.25,16.78947368,16.78947368
05/01/1976,11,16.54135338,16.54135338
19/01/1976,10.75,16.29323308,16.29323308
26/01/1976,10.5,16.04511278,16.04511278
02/02/1976,10,15.79699248,15.79699248
09/02/1976,9.5,15.54887218,15.54887218
01/03/1976,9.25,15.30075188,15.30075188
08/03/1976,9,15.05263158,15.05263158
26/04/1976,10.5,14.80451128,14.80451128
24/05/1976,11.5,14.55639098,14.55639098
13/09/1976,13,14.30827068,14.30827068
07/10/1976,15,14.06015038,14.06015038
22/11/1976,14.75,13.81203008,13.81203008
20/12/1976,14.5,13.56390977,13.56390977
29/12/1976,14.25,13.31578947,13.31578947
10/01/1977,14,13.06766917,13.06766917
24/01/1977,13.25,12.81954887,12.81954887
31/01/1977,12.25,12.57142857,12.57142857
03/02/1977,12,12.32330827,12.32330827
10/03/1977,11,12.07518797,12.07518797
21/03/1977,10.5,11.82706767,11.82706767
31/03/1977,9.5,11.57894737,11.57894737
12/04/1977,9.25,11.33082707,11.33082707
18/04/1977,9,11.08270677,11.08270677
25/04/1977,8.75,10.83458647,10.83458647
02/05/1977,8.25,10.58646617,10.58646617
16/05/1977,8,10.33834586,10.33834586
08/08/1977,7.5,10.09022556,10.09022556
15/08/1977,7,9.842105263,9.842105263
12/09/1977,6.5,9.593984962,9.593984962
19/09/1977,6,9.345864662,9.345864662
10/10/1977,5.5,9.097744361,9.097744361
17/10/1977,5,8.84962406,8.84962406
28/11/1977,7,8.601503759,8.601503759
09/01/1978,6.5,8.353383459,8.353383459
12/04/1978,7.5,8.105263158,8.105263158
08/05/1978,8.75,10,10
15/05/1978,9,9,9
08/06/1978,10,8,8
09/11/1978,12.5,7,7
08/02/1979,14,6,6
01/03/1979,13,5,5
05/04/1979,12,4,4
13/06/1979,14,3,3
15/11/1979,17,2,2
03/07/1980,16,1,1
25/11/1980,14,10,10
11/03/1981,12,9,9
25/08/1981,12.69,8,8
15/09/1981,14,7,7
12/10/1981,15,6,6
28/10/1981,15.13,5,5
06/11/1981,15.06,4,4
09/11/1981,14.63,3,3
25/11/1981,14.56,2,2
04/12/1981,14.38,1,1
18/01/1982,14.31,17.78195489,17.78195489
19/01/1982,14.25,17.53383459,17.53383459
20/01/1982,14.13,17.28571429,17.28571429
21/01/1982,14,17.03759398,17.03759398
22/01/1982,13.88,16.78947368,16.78947368
22/02/1982,13.81,16.54135338,16.54135338
25/02/1982,13.63,16.29323308,16.29323308
10/03/1982,13.25,16.04511278,16.04511278
16/04/1982,13.13,15.79699248,15.79699248
19/04/1982,13,15.54887218,15.54887218
20/04/1982,13.13,15.30075188,15.30075188
08/06/1982,12.63,15.05263158,15.05263158
09/07/1982,12.5,14.80451128,14.80451128
12/07/1982,12.25,14.55639098,14.55639098
13/07/1982,12.13,14.30827068,14.30827068
21/07/1982,12.06,14.06015038,14.06015038
26/07/1982,11.94,13.81203008,13.81203008
28/07/1982,11.81,13.56390977,13.56390977
29/07/1982,11.75,13.31578947,13.31578947
30/07/1982,11.63,13.06766917,13.06766917
02/08/1982,11.56,12.81954887,12.81954887
04/08/1982,11.5,12.57142857,12.57142857
16/08/1982,11.38,12.32330827,12.32330827
17/08/1982,11.25,12.07518797,12.07518797
24/08/1982,11.13,11.82706767,11.82706767
25/08/1982,11,11.57894737,11.57894737
26/08/1982,10.88,11.33082707,11.33082707
27/08/1982,10.63,11.08270677,11.08270677
27/09/1982,10.5,10.83458647,10.83458647
28/09/1982,10.38,10.58646617,10.58646617
29/09/1982,10.25,10.33834586,10.33834586
30/09/1982,10.13,10.09022556,10.09022556
12/10/1982,9.63,9.842105263,9.842105263
01/11/1982,9.38,9.593984962,9.593984962
02/11/1982,9.13,9.345864662,9.345864662
26/11/1982,10,9.097744361,9.097744361
12/01/1983,11,8.84962406,8.84962406
15/03/1983,10.56,8.601503759,8.601503759
13/04/1983,10.31,8.353383459,8.353383459
14/04/1983,10.06,8.105263158,8.105263158
13/06/1983,9.81,10,10
14/06/1983,9.56,9,9
09/08/1983,9.44,8,8
10/08/1983,9.56,7,7
03/10/1983,9.06,6,6
07/03/1984,8.81,5,5
14/03/1984,8.56,4,4
10/05/1984,9.06,3,3
29/06/1984,8.88,2,2
06/07/1984,10,1,1
11/07/1984,12,10,10
08/08/1984,11.5,9,9
09/08/1984,11,8,8
16/08/1984,10.75,7,7
17/08/1984,10.5,6,6
05/11/1984,10,5,5
19/11/1984,9.75,4,4
23/11/1984,9.5,3,3
14/01/1985,11.88,2,2
28/01/1985,13.88,1,1
20/03/1985,13.38,17.78195489,17.78195489
28/03/1985,12.88,17.53383459,17.53383459
19/04/1985,12.38,17.28571429,17.28571429
11/07/1985,11.88,17.03759398,17.03759398
26/07/1985,11.38,16.78947368,16.78947368
15/01/1986,12.38,16.54135338,16.54135338
19/03/1986,11.38,16.29323308,16.29323308
11/04/1986,10.88,16.04511278,16.04511278
18/04/1986,10.38,15.79699248,15.79699248
23/05/1986,9.88,15.54887218,15.54887218
15/10/1986,10.88,15.30075188,15.30075188
09/03/1987,10.38,15.05263158,15.05263158
18/03/1987,9.88,14.80451128,14.80451128
28/04/1987,9.38,14.55639098,14.55639098
08/05/1987,8.88,14.30827068,14.30827068
06/08/1987,9.88,14.06015038,14.06015038
23/10/1987,9.38,13.81203008,13.81203008
04/11/1987,8.88,13.56390977,13.56390977
03/12/1987,8.38,13.31578947,13.31578947
01/02/1988,8.88,13.06766917,13.06766917
17/03/1988,8.38,12.81954887,12.81954887
08/04/1988,7.88,12.57142857,12.57142857
17/05/1988,7.38,12.32330827,12.32330827
03/06/1988,7.88,12.07518797,12.07518797
10/06/1988,8.38,11.82706767,11.82706767
24/06/1988,8.88,11.57894737,11.57894737
07/07/1988,9.88,11.33082707,11.33082707
21/07/1988,10.38,11.08270677,11.08270677
08/08/1988,10.88,10.83458647,10.83458647
25/08/1988,11.88,10.58646617,10.58646617
25/11/1988,12.88,10.33834586,10.33834586
25/05/1989,13.75,10.09022556,10.09022556
31/08/1989,13.84,9.842105263,9.842105263
04/09/1989,13.88,9.593984962,9.593984962
08/09/1989,13.75,9.345864662,9.345864662
06/10/1989,14.88,9.097744361,9.097744361
08/10/1990,13.88,8.84962406,8.84962406
13/02/1991,13.38,8.601503759,8.601503759
27/02/1991,12.88,8.353383459,8.353383459
22/03/1991,12.38,8.105263158,8.105263158
12/04/1991,11.88,10,10
24/05/1991,11.38,9,9
12/07/1991,10.88,8,8
04/09/1991,10.38,7,7
05/05/1992,9.88,6,6
22/09/1992,8.88,5,5
16/10/1992,7.88,4,4
13/11/1992,6.88,3,3
26/01/1993,5.88,2,2
23/11/1993,5.38,1,1
08/02/1994,5.13,10,10
12/09/1994,5.63,9,9
07/12/1994,6.13,8,8
02/02/1995,6.63,7,7
13/12/1995,6.38,6,6
18/01/1996,6.13,5,5
08/03/1996,5.94,4,4
06/06/1996,5.69,3,3
30/10/1996,5.94,2,2
06/05/1997,6.25,1,1
06/06/1997,6.5,17.78195489,17.78195489
10/07/1997,6.75,17.53383459,17.53383459
07/08/1997,7,17.28571429,17.28571429
06/11/1997,7.25,17.03759398,17.03759398
04/06/1998,7.5,16.78947368,16.78947368
08/10/1998,7.25,16.54135338,16.54135338
05/11/1998,6.75,16.29323308,16.29323308
10/12/1998,6.25,16.04511278,16.04511278
07/01/1999,6,15.79699248,15.79699248
04/02/1999,5.5,15.54887218,15.54887218
08/04/1999,5.25,15.30075188,15.30075188
10/06/1999,5,15.05263158,15.05263158
08/09/1999,5.25,14.80451128,14.80451128
04/11/1999,5.5,14.55639098,14.55639098
13/01/2000,5.75,14.30827068,14.30827068
10/02/2000,6,14.06015038,14.06015038
08/02/2001,5.75,13.81203008,13.81203008
05/04/2001,5.5,13.56390977,13.56390977
10/05/2001,5.25,13.31578947,13.31578947
02/08/2001,5,13.06766917,13.06766917
18/09/2001,4.75,12.81954887,12.81954887
04/10/2001,4.5,12.57142857,12.57142857
08/11/2001,4,12.32330827,12.32330827
06/02/2003,3.75,12.07518797,12.07518797
10/07/2003,3.5,11.82706767,11.82706767
06/11/2003,3.75,11.57894737,11.57894737
05/02/2004,4,11.33082707,11.33082707
06/05/2004,4.25,11.08270677,11.08270677
10/06/2004,4.5,10.83458647,10.83458647
05/08/2004,4.75,10.58646617,10.58646617
04/08/2005,4.5,10.33834586,10.33834586
03/08/2006,4.75,10.09022556,10.09022556
09/11/2006,5,9.842105263,9.842105263
11/01/2007,5.25,9.593984962,9.593984962
10/05/2007,5.5,9.345864662,9.345864662
05/07/2007,5.75,9.097744361,9.097744361
06/12/2007,5.5,8.84962406,8.84962406
07/02/2008,5.25,8.601503759,8.601503759
10/04/2008,5,8.353383459,8.353383459
08/10/2008,4.5,8.105263158,8.105263158
06/11/2008,3,10,10
04/12/2008,2,9,9
08/01/2009,1.5,8,8
05/02/2009,1,7,7
05/03/2009,0.5,6,6
04/08/2016,0.25,5,5
02/11/2017,0.5,4,4
02/08/2018,0.75,3,3
11/03/2020,0.25,2,2
19/03/2020,0.1,1,1
16/12/2021,0.25,10,10
03/02/2022,0.5,9,9
17/03/2022,0.75,8,8
05/05/2022,1,7,7
16/06/2022,1.25,6,6
04/08/2022,1.75,5,5
22/09/2022,2.25,4,4
03/11/2022,3,3,3
15/12/2022,3.5,2,2
02/02/2023,4,1,1
