date,interest_rate,m4_moneySupply,net_lending_privateSector,net_lending_publicSector,bond_issuance,bond_repayment,change_in_reserves
01/01/1963,,13770,,,,,
01/04/1963,,14104,,,,,
01/07/1963,,14351,,,,,
01/10/1963,,14774,,,,,
01/01/1964,,15001,,,,,
01/04/1964,,15326,,,,,
01/07/1964,,15665,,,,,
01/10/1964,,15900,,,,,
01/01/1965,,16138,,,,,
01/04/1965,,16502,,,,,
01/07/1965,,16894,,,,,
01/10/1965,,17397,,,,,
01/01/1966,,17935,,,,,
01/04/1966,,18091,,,,,
01/07/1966,,18380,,,,,
01/10/1966,,18523,,,,,
01/01/1967,,18994,,,,,
01/04/1967,,19565,,,,,
01/07/1967,,20286,,,,,
01/10/1967,,20894,,,,,
01/01/1968,,21345,,,,,
01/04/1968,,21911,,,,,
01/07/1968,,22210,,,,,
01/10/1968,,22666,,,,,
01/01/1969,,23011,,,,,
01/04/1969,,23007,,,,,
01/07/1969,,23374,,,,,
01/10/1969,,23803,,,,,
01/01/1970,,24150,,,,,
01/04/1970,,25024,,,,,
01/07/1970,,25858,,,,,
01/10/1970,,26644,,,,,
01/01/1971,,27651,,,,,
01/04/1971,,28484,,,,,
01/07/1971,,29521,,,,,
01/10/1971,,30983,,,,,
01/01/1972,,33006,,,,,
01/04/1972,,34991,,,,,
01/07/1972,,36400,,,,,
01/10/1972,,38183,,,,,
01/01/1973,,40081,,,,,
01/04/1973,,42139,,,,,
01/07/1973,,44637,,,,,
01/10/1973,,46566,,,,,
01/01/1974,,47867,,,,,
01/04/1974,,48717,,,,,
01/07/1974,,49573,,,,,
01/10/1974,,51654,,,,,
01/01/1975,,53328,,,,,
20/01/1975,11.25,,,,,,
27/01/1975,11,,,,,,
10/02/1975,10.75,,,,,,
17/02/1975,10.5,,,,,,
10/03/1975,10.25,,,,,,
24/03/1975,10,,,,,,
01/04/1975,,54975,,,,,
21/04/1975,9.75,,,,,,
05/05/1975,10,,,,,,
01/07/1975,,56896,,,,,
28/07/1975,11,,,,,,
01/10/1975,,57846,,,,,
06/10/1975,12,,,,,,
17/11/1975,11.75,,,,,,
01/12/1975,11.5,,,,,,
29/12/1975,11.25,,,,,,
01/01/1976,,59604,,,,,
05/01/1976,11,,,,,,
19/01/1976,10.75,,,,,,
26/01/1976,10.5,,,,,,
02/02/1976,10,,,,,,
09/02/1976,9.5,,,,,,
01/03/1976,9.25,,,,,,
08/03/1976,9,,,,,,
01/04/1976,,61471,,,,,
26/04/1976,10.5,,,,,,
24/05/1976,11.5,,,,,,
01/07/1976,,63703,,,,,
13/09/1976,13,,,,,,
01/10/1976,,64444,,,,,
07/10/1976,15,,,,,,
22/11/1976,14.75,,,,,,
