newdate,Sum of interest_rate,Sum of m4_moneySupply,Sum of net_lending_privateSector,Sum of net_lending_publicSector,Sum of bond_issuance,Sum of bond_repayment,Sum of change_in_reserves
Jan-63,,13770,,,,,
Apr-63,,14104,,,,,
Jul-63,,14351,,,,,
Oct-63,,14774,,,,,
Jan-64,,15001,,,,,
Apr-64,,15326,,,,,
Jul-64,,15665,,,,,
Oct-64,,15900,,,,,
Jan-65,,16138,,,,,
Apr-65,,16502,,,,,
Jul-65,,16894,,,,,
Oct-65,,17397,,,,,
Jan-66,,17935,,,,,
Apr-66,,18091,,,,,
Jul-66,,18380,,,,,
Oct-66,,18523,,,,,
Jan-67,,18994,,,,,
Apr-67,,19565,,,,,
Jul-67,,20286,,,,,
Oct-67,,20894,,,,,
Jan-68,,21345,,,,,
Apr-68,,21911,,,,,
Jul-68,,22210,,,,,
Oct-68,,22666,,,,,
Jan-69,,23011,,,,,
Apr-69,,23007,,,,,
Jul-69,,23374,,,,,
Oct-69,,23803,,,,,
Jan-70,,24150,,,,,
Apr-70,,25024,,,,,
Jul-70,,25858,,,,,
Oct-70,,26644,,,,,
Jan-71,,27651,,,,,
Apr-71,,28484,,,,,
Jul-71,,29521,,,,,
Oct-71,,30983,,,,,
Jan-72,,33006,,,,,
Apr-72,,34991,,,,,
Jul-72,,36400,,,,,
Oct-72,,38183,,,,,
Jan-73,,40081,,,,,
Apr-73,,42139,,,,,
Jul-73,,44637,,,,,
Oct-73,,46566,,,,,
Jan-74,,47867,,,,,
Apr-74,,48717,,,,,
Jul-74,,49573,,,,,
Oct-74,,51654,,,,,
Jan-75,22.25,53328,,,,,
Feb-75,21.25,,,,,,
Mar-75,20.25,,,,,,
Apr-75,9.75,54975,,,,,
May-75,10,,,,,,
Jul-75,11,56896,,,,,
Oct-75,12,57846,,,,,
Nov-75,11.75,,,,,,
Dec-75,22.75,,,,,,
Jan-76,32.25,59604,,,,,
Feb-76,19.5,,,,,,
Mar-76,18.25,,,,,,
Apr-76,10.5,61471,,,,,
May-76,11.5,,,,,,
Jul-76,,63703,,,,,
Sep-76,13,,,,,,
Oct-76,15,64444,,,,,
Nov-76,14.75,,,,,,
Dec-76,28.75,,,,,,
Jan-77,39.5,65652,,,,,
Feb-77,12,,,,,,
Mar-77,31,,,,,,
Apr-77,27,68147,,,,,
May-77,16.25,,,,,,
Jul-77,,70633,,,,,
Aug-77,14.5,,,,,,
Sep-77,12.5,,,,,,
Oct-77,10.5,74031,,,,,
Nov-77,7,,,,,,
Jan-78,6.5,77971,,,,,
Apr-78,7.5,79911,,,,,
May-78,17.75,,,,,,
Jun-78,10,,,,,,
Jul-78,,82283,,,,,
Oct-78,,85174,,,,,
Nov-78,12.5,,,,,,
Jan-79,,87922,,,,,
Feb-79,14,,,,,,
Mar-79,13,,,,,,
Apr-79,12,91073,,,,,
Jun-79,14,,,,,,
Jul-79,,94300,,,,,
Oct-79,,97506,,,,,
Nov-79,17,,,,,,
Jan-80,,100201,,,,,
Apr-80,,104853,,,,,
Jul-80,16,109076,,,,,
Oct-80,,114324,,,,,
Nov-80,14,,,,,,
Jan-81,,117566,,,,,
Mar-81,12,,,,,,
Apr-81,,122606,,,,,
Jul-81,,127122,,,,,
Aug-81,12.69,,,,,,
Sep-81,14,,,,,,
Oct-81,30.13,137846,,,,,
Nov-81,44.25,,,,,,
Dec-81,14.38,,,,,,
