Date,GDP (in  millions of GBP),Unemployment Rate (%),Inflation Rate (%),CPI,Trade Balance (Goods) (in  millions of GBP),Trade Balance (Services) (in  millions of GBP),Trade Balance (Overall) (in  millions of GBP),Retail Sales (in  millions of GBP),Housing Starts (Started),Housing Starts (Completed)
01/01/1970,63891.1,3.9,5.5,38.5,470,-124,346,414,223,187
01/04/1970,65146.8,4,6.2,38.9,476,-126,350,418,226,190
01/07/1970,66055.5,4.1,6.1,39.3,481,-127,354,422,229,193
01/10/1970,66744.6,4.2,5.7,39.8,484,-128,356,426,231,195
01/01/1971,67414.3,4.3,6,40.2,487,-129,358,430,233,197
01/04/1971,68143.4,4.4,5.6,40.6,490,-130,360,434,236,200
01/07/1971,68784.9,4.5,6.2,41.2,492,-131,361,438,238,202
01/10/1971,69854.5,4.6,6.9,41.8,496,-132,364,442,240,204
01/01/1972,70966.3,4.7,8,42.5,501,-133,368,446,242,206
01/04/1972,71946.4,4.8,8.4,43.1,505,-134,371,450,244,208
01/07/1972,72965.9,4.9,8.2,43.7,510,-135,375,454,246,210
01/10/1972,74100.2,5,7.8,44.2,514,-136,378,458,248,212
01/01/1973,75397.6,5.1,7.4,44.8,517,-137,381,462,250,215
01/04/1973,76741.4,5.2,8.1,45.4,521,-138,383,466,252,218
01/07/1973,78029.8,5.3,8.4,45.9,525,-139,386,470,254,221
01/10/1973,79423.9,5.4,8.8,46.6,529,-140,389,474,256,224
01/01/1974,79724.7,5.5,12,50.4,530,-141,389,478,258,226
01/04/1974,79850.5,5.6,15,54.4,530,-142,388,482,260,229
01/07/1974,79320.2,5.7,16,56.5,529,-143,386,486,262,232
01/10/1974,78547.3,5.8,15.1,54.9,528,-144,384,490,264,235
01/01/1975,77984.3,5.9,13.5,52.8,526,-145,381,494,266,238
01/04/1975,78324.2,6,11,50.9,527,-146,381,498,268,241
01/07/1975,78564.4,6.1,8.4,49.3,528,-147,381,502,270,244
01/10/1975,78712.9,6.2,8.7,49.9,529,-148,381,506,272,247
01/01/1976,78821.1,6.3,9.3,50.6,530,-149,381,510,274,250
01/04/1976,79203.2,6.4,9.9,51.3,531,-150,381,514,276,253
01/07/1976,79744.3,6.5,8.2,49.9,532,-151,381,518,278,256
01/10/1976,80751.3,6.6,6.7,48.6,535,-152,383,522,280,259
01/01/1977,81556.4,6.7,5.4,47.2,538,-153,384,526,282,262
01/04/1977,82554.6,6.8,5.3,47.3,541,-154,386,530,284,265
01/07/1977,83414.7,6.9,6.6,49.2,544,-155,388,534,286,268
01/10/1977,84495.7,7,8.1,51.2,548,-156,392,538,288,271
01/01/1978,85468.6,7.1,9.2,52.6,552,-157,395,542,290,274
01/04/1978,86436.4,7.2,9.3,52.9,556,-158,398,546,292,277
01/07/1978,87298.6,7.3,8.7,52.2,559,-159,401,550,294,280
01/10/1978,88349.9,7.4,7.3,50.7,563,-160,403,554,296,283
01/01/1979,89144.4,7.5,6.8,50,567,-161,406,558,298,286
01/04/1979,89882.4,7.6,8,51.1,570,-162,408,562,300,289
01/07/1979,90849.9,7.7,10,53.1,574,-163,411,566,302,292
