Date,Base Interest Rate,Money Supply (£ million),Net Lending (Private Sector) (£ million),Net Lending (Public Sector) (£ million),Bond Issuance (£ million),Bond Repayment (£ million),Change in Reserves (£ million),,
01/01/1970,7.00,10182.00,,,,,,,
01/02/1970,7.00,10236.00,,,,,,,
01/03/1970,7.00,10240.00,,,,,,,
01/04/1970,7.00,10249.00,,,,,,,
01/05/1970,7.00,10291.00,,,,,,,
01/06/1970,7.00,10336.00,,,,,,,
01/07/1970,7.00,10380.00,,,,,,,
01/08/1970,7.00,10435.00,,,,,,,
01/09/1970,7.00,10464.00,,,,,,,
01/10/1970,7.00,10518.00,,,,,,,
01/11/1970,7.00,10561.00,,,,,,,
01/12/1970,7.00,10603.00,,,,,,,
01/01/1971,7.00,10659.00,,,,,,,
01/02/1971,7.00,10693.00,,,,,,,
01/03/1971,7.00,10733.00,,,,,,,
01/04/1971,7.00,10778.00,,,,,,,
01/05/1971,7.00,10821.00,,,,,,,
01/06/1971,7.00,10867.00,,,,,,,
01/07/1971,7.00,10920.00,,,,,,,
01/08/1971,7.00,10966.00,,,,,,,
01/09/1971,7.00,11014.00,,,,,,,
01/10/1971,7.00,11067.00,,,,,,,
01/11/1971,7.00,11109.00,,,,,,,
01/12/1971,7.00,11146.00,,,,,,,
01/01/1972,7.00,11183.00,,,,,,,
01/02/1972,6.50,11241.00,,,,,,,
01/03/1972,6.50,11287.00,,,,,,,
01/04/1972,6.50,11321.00,,,,,,,
01/05/1972,6.50,11364.00,,,,,,,
01/06/1972,6.50,11408.00,,,,,,,
01/07/1972,6.50,11453.00,,,,,,,
01/08/1972,6.50,11490.00,,,,,,,
01/09/1972,6.50,11536.00,,,,,,,
01/10/1972,6.50,11578.00,,,,,,,
01/11/1972,6.50,11617.00,,,,,,,
01/12/1972,6.50,11657.00,,,,,,,
01/01/1973,6.50,11698.00,,,,,,,
01/02/1973,6.50,11743.00,,,,,,,
01/03/1973,6.50,11781.00,,,,,,,
01/04/1973,6.50,11819.00,,,,,,,
01/05/1973,6.50,11865.00,,,,,,,
01/06/1973,6.50,11907.00,,,,,,,
01/07/1973,6.50,11952.00,,,,,,,
01/08/1973,6.50,11994.00,,,,,,,
01/09/1973,7.00,12044.00,,,,,,,
01/10/1973,7.00,12097.00,,,,,,,
01/11/1973,7.00,12143.00,,,,,,,
01/12/1973,7.00,12191.00,,,,,,,
01/01/1974,7.00,12241.00,,,,,,,
01/02/1974,9.00,12367.00,,,,,,,
01/03/1974,11.00,12485.00,,,,,,,
01/04/1974,11.00,12631.00,,,,,,,
01/05/1974,11.00,12717.00,,,,,,,
01/06/1974,11.00,12768.00,,,,,,,
01/07/1974,11.00,12826.00,,,,,,,
01/08/1974,11.00,12882.00,,,,,,,
01/09/1974,11.00,12941.00,,,,,,,
01/10/1974,11.00,12996.00,,,,,,,
01/11/1974,11.00,13045.00,,,,,,,
01/12/1974,11.00,13100.00,,,,,,,
01/01/1975,11.00,13157.00,,,,,,,
01/02/1975,11.50,13228.00,,,,,,,
01/03/1975,12.00,13311.00,,,,,,,
01/04/1975,12.00,13418.00,,,,,,,
01/05/1975,12.00,13483.00,,,,,,,
01/06/1975,12.00,13533.00,,,,,,,
01/07/1975,12.00,13587.00,,,,,,,
01/08/1975,12.00,13632.00,,,,,,,
01/09/1975,12.00,13685.00,,,,,,,
01/10/1975,12.00,13737.00,,,,,,,
01/11/1975,12.00,13789.00,,,,,,,
01/12/1975,12.00,13837.00,,,,,,,
01/01/1976,11.00,13889.00,,,,,,,
01/02/1976,10.50,13927.00,,,,,,,
01/03/1976,10.00,13959.00,,,,,,,
01/04/1976,9.50,13986.00,,,,,,,
01/05/1976,9.00,14009.00,,,,,,,
01/06/1976,9.00,14037.00,,,,,,,
01/07/1976,9.00,14060.00,,,,,,,
01/08/1976,9.00,14082.00,,,,,,,
01/09/1976,9.00,14107.00,,,,,,,
01/10/1976,9.00,14136.00,,,,,,,
01/11/1976,9.00,14162.00,,,,,,,
01/12/1976,9.00,14187.00,,,,,,,
01/01/1977,10.00,14221.00,,,,,,,
01/02/1977,11.00,14260.00,,,,,,,
01/03/1977,12.00,14314.00,,,,,,,
01/04/1977,12.00,14398.00,,,,,,,
01/05/1977,12.00,14454.00,,,,,,,
01/06/1977,12.00,14503.00,,,,,,,
01/07/1977,12.00,14557.00,,,,,,,
01/08/1977,12.00,14609.00,,,,,,,
01/09/1977,12.00,14672.00,,,,,,,
01/10/1977,11.50,14730.00,,,,,,,
01/11/1977,11.50,14790.00,,,,,,,
01/12/1977,11.50,14843.00,,,,,,,
01/01/1978,11.50,14906.00,,,,,,,
01/02/1978,11.50,14954.00,,,,,,,
01/03/1978,12.00,14992.00,,,,,,,
01/04/1978,12.00,15087.00,,,,,,,
01/05/1978,12.00,15149.00,,,,,,,
01/06/1978,12.00,15214.00,,,,,,,
01/07/1978,12.00,15276.00,,,,,,,
01/08/1978,12.00,15332.00,,,,,,,
01/09/1978,11.50,15396.00,,,,,,,
01/10/1978,11.50,15455.00,,,,,,,
01/11/1978,12.00,15514.00,,,,,,,
