Date,GDP (Millions of Pounds),Unemployment Rate (%),Inflation Rate (%),CPI,Trade Balance (Goods) (Millions of Pounds),Trade Balance (Services) (Millions of Pounds),Trade Balance (Overall) (Millions of Pounds),Retail Sales (Millions of Pounds),Housing Starts (Started),Housing Starts (Completed)
01/01/1970,63891.10,3.90,5.50,38.50,470.00,-124.00,346.00,414.00,223.00,187.00
01/04/1970,65146.80,4.00,6.20,38.90,476.00,-126.00,350.00,418.00,226.00,190.00
01/07/1970,66055.50,4.10,6.10,39.30,481.00,-127.00,354.00,422.00,229.00,193.00
01/10/1970,66744.60,4.20,5.70,39.80,484.00,-128.00,356.00,426.00,231.00,195.00
01/01/1971,67414.30,4.30,6.00,40.20,487.00,-129.00,358.00,430.00,233.00,197.00
01/04/1971,68143.40,4.40,5.60,40.60,490.00,-130.00,360.00,434.00,236.00,200.00
01/07/1971,68784.90,4.50,6.20,41.20,492.00,-131.00,361.00,438.00,238.00,202.00
01/10/1971,69854.50,4.60,6.90,41.80,496.00,-132.00,364.00,442.00,240.00,204.00
01/01/1972,70966.30,4.70,8.00,42.50,501.00,-133.00,368.00,446.00,242.00,206.00
01/04/1972,71946.40,4.80,8.40,43.10,505.00,-134.00,371.00,450.00,244.00,208.00
01/07/1972,72965.90,4.90,8.20,43.70,510.00,-135.00,375.00,454.00,246.00,210.00
01/10/1972,74100.20,5.00,7.80,44.20,514.00,-136.00,378.00,458.00,248.00,212.00
01/01/1973,75397.60,5.10,7.40,44.80,517.00,-137.00,381.00,462.00,250.00,215.00
01/04/1973,76741.40,5.20,8.10,45.40,521.00,-138.00,383.00,466.00,252.00,218.00
01/07/1973,78029.80,5.30,8.40,45.90,525.00,-139.00,386.00,470.00,254.00,221.00
01/10/1973,79423.90,5.40,8.80,46.60,529.00,-140.00,389.00,474.00,256.00,224.00
01/01/1974,79724.70,5.50,12.00,50.40,530.00,-141.00,389.00,478.00,258.00,226.00
01/04/1974,79850.50,5.60,15.00,54.40,530.00,-142.00,388.00,482.00,260.00,229.00
01/07/1974,79320.20,5.70,16.00,56.50,529.00,-143.00,386.00,486.00,262.00,232.00
01/10/1974,78547.30,5.80,15.10,54.90,528.00,-144.00,384.00,490.00,264.00,235.00
01/01/1975,77984.30,5.90,13.50,52.80,526.00,-145.00,381.00,494.00,266.00,238.00
01/04/1975,78324.20,6.00,11.00,50.90,527.00,-146.00,381.00,498.00,268.00,241.00
01/07/1975,78564.40,6.10,8.40,49.30,528.00,-147.00,381.00,502.00,270.00,244.00
01/10/1975,78712.90,6.20,8.70,49.90,529.00,-148.00,381.00,506.00,272.00,247.00
01/01/1976,78821.10,6.30,9.30,50.60,530.00,-149.00,381.00,510.00,274.00,250.00
01/04/1976,79203.20,6.40,9.90,51.30,531.00,-150.00,381.00,514.00,276.00,253.00
01/07/1976,79744.30,6.50,8.20,49.90,532.00,-151.00,381.00,518.00,278.00,256.00
01/10/1976,80751.30,6.60,6.70,48.60,535.00,-152.00,383.00,522.00,280.00,259.00
01/01/1977,81556.40,6.70,5.40,47.20,538.00,-153.00,384.00,526.00,282.00,262.00
01/04/1977,82554.60,6.80,5.30,47.30,541.00,-154.00,386.00,530.00,284.00,265.00
01/07/1977,83414.70,6.90,6.60,49.20,544.00,-155.00,388.00,534.00,286.00,268.00
01/10/1977,84495.70,7.00,8.10,51.20,548.00,-156.00,392.00,538.00,288.00,271.00
01/01/1978,85468.60,7.10,9.20,52.60,552.00,-157.00,395.00,542.00,290.00,274.00
01/04/1978,86436.40,7.20,9.30,52.90,556.00,-158.00,398.00,546.00,292.00,277.00
01/07/1978,87298.60,7.30,8.70,52.20,559.00,-159.00,401.00,550.00,294.00,280.00
01/10/1978,88349.90,7.40,7.30,50.70,563.00,-160.00,403.00,554.00,296.00,283.00
01/01/1979,89144.40,7.50,6.80,50.00,567.00,-161.00,406.00,558.00,298.00,286.00
01/04/1979,89882.40,7.60,8.00,51.10,570.00,-162.00,408.00,562.00,300.00,289.00
01/07/1979,90849.90,7.70,10.00,53.10,574.00,-163.00,411.00,566.00,302.00,292.00
01/10/1979,91676.10,7.80,10.80,54.30,577.00,-164.00,412.00,570.00,304.00,295.00
01/01/1980,91784.70,7.90,11.90,56.00,578.00,-165.00,413.00,574.00,306.00,298.00
01/04/1980,90587.20,8.00,15.00,60.00,574.00,-166.00,408.00,578.00,308.00,301.00
01/07/1980,90087.50,8.10,16.00,61.90,571.00,-167.00,404.00,582.00,310.00,304.00
01/10/1980,90054.50,8.20,13.50,58.90,570.00,-168.00,402.00,586.00,312.00,307.00
01/01/1981,89987.40,8.30,10.30,55.60,569.00,-169.00,399.00,590.00,314.00,310.00
01/04/1981,89890.80,8.40,9.20,54.40,568.00,-170.00,398.00,594.00,316.00,313.00
01/07/1981,89968.30,8.50,8.60,53.70,568.00,-171.00,397.00,598.00,318.00,316.00
01/10/1981,90258.70,8.60,7.90,53.00,570.00,-172.00,398.00,602.00,320.00,319.00
