Date,Base Interest Rate,Money Supply,Net Lending (Private Sector),Net Lending (Public Sector),Bond Issuance,Bond Repayment,Change in Reserves
01/01/1963,0,13770,0,0,0,0,0
01/04/1963,0,14104,0,0,0,0,0
01/07/1963,0,14351,0,0,0,0,0
01/10/1963,0,14774,0,0,0,0,0
01/01/1964,0,15001,0,0,0,0,0
01/04/1964,0,15326,0,0,0,0,0
01/07/1964,0,15665,0,0,0,0,0
01/10/1964,0,15900,0,0,0,0,0
01/01/1965,0,16138,0,0,0,0,0
01/04/1965,0,16502,0,0,0,0,0
01/07/1965,0,16894,0,0,0,0,0
01/10/1965,0,17397,0,0,0,0,0
01/01/1966,0,17935,0,0,0,0,0
01/04/1966,0,18091,0,0,0,0,0
01/07/1966,0,18380,0,0,0,0,0
01/10/1966,0,18523,0,0,0,0,0
01/01/1967,0,18994,0,0,0,0,0
01/04/1967,0,19565,0,0,0,0,0
01/07/1967,0,20286,0,0,0,0,0
01/10/1967,0,20894,0,0,0,0,0
01/01/1968,0,21345,0,0,0,0,0
01/04/1968,0,21911,0,0,0,0,0
01/07/1968,0,22210,0,0,0,0,0
01/10/1968,0,22666,0,0,0,0,0
01/01/1969,0,23011,0,0,0,0,0
01/04/1969,0,23007,0,0,0,0,0
01/07/1969,0,23374,0,0,0,0,0
01/10/1969,0,23803,0,0,0,0,0
01/01/1970,0,24150,0,0,0,0,0
01/04/1970,0,25024,0,0,0,0,0
01/07/1970,0,25858,0,0,0,0,0
01/10/1970,0,26644,0,0,0,0,0
01/01/1971,0,27651,0,0,0,0,0
01/04/1971,0,28484,0,0,0,0,0
01/07/1971,0,29521,0,0,0,0,0
01/10/1971,0,30983,0,0,0,0,0
01/01/1972,0,33006,0,0,0,0,0
01/04/1972,0,34991,0,0,0,0,0
01/07/1972,0,36400,0,0,0,0,0
01/10/1972,0,38183,0,0,0,0,0
01/01/1973,0,40081,0,0,0,0,0
01/04/1973,0,42139,0,0,0,0,0
01/07/1973,0,44637,0,0,0,0,0
01/10/1973,0,46566,0,0,0,0,0
01/01/1974,0,47867,0,0,0,0,0
01/04/1974,0,48717,0,0,0,0,0
01/07/1974,0,49573,0,0,0,0,0
01/10/1974,0,51654,0,0,0,0,0
01/01/1975,0,53328,0,0,0,0,0
20/01/1975,11.25,0,0,0,0,0,0
27/01/1975,11,0,0,0,0,0,0
10/02/1975,10.75,0,0,0,0,0,0
17/02/1975,10.5,0,0,0,0,0,0
10/03/1975,10.25,0,0,0,0,0,0
24/03/1975,10,0,0,0,0,0,0
01/04/1975,0,54975,0,0,0,0,0
21/04/1975,9.75,0,0,0,0,0,0
05/05/1975,10,0,0,0,0,0,0
01/07/1975,0,56896,0,0,0,0,0
28/07/1975,11,0,0,0,0,0,0
01/10/1975,0,57846,0,0,0,0,0
06/10/1975,12,0,0,0,0,0,0
17/11/1975,11.75,0,0,0,0,0,0
01/12/1975,11.5,0,0,0,0,0,0
29/12/1975,11.25,0,0,0,0,0,0
01/01/1976,0,59604,0,0,0,0,0
05/01/1976,11,0,0,0,0,0,0
19/01/1976,10.75,0,0,0,0,0,0
26/01/1976,10.5,0,0,0,0,0,0
02/02/1976,10,0,0,0,0,0,0
09/02/1976,9.5,0,0,0,0,0,0
01/03/1976,9.25,0,0,0,0,0,0
08/03/1976,9,0,0,0,0,0,0
01/04/1976,0,61471,0,0,0,0,0
26/04/1976,10.5,0,0,0,0,0,0
24/05/1976,11.5,0,0,0,0,0,0
01/07/1976,0,63703,0,0,0,0,0
13/09/1976,13,0,0,0,0,0,0
01/10/1976,0,64444,0,0,0,0,0
07/10/1976,15,0,0,0,0,0,0
22/11/1976,14.75,0,0,0,0,0,0
20/12/1976,14.5,0,0,0,0,0,0
29/12/1976,14.25,0,0,0,0,0,0
01/01/1977,0,65652,0,0,0,0,0
10/01/1977,14,0,0,0,0,0,0
24/01/1977,13.25,0,0,0,0,0,0
31/01/1977,12.25,0,0,0,0,0,0
03/02/1977,12,0,0,0,0,0,0
10/03/1977,11,0,0,0,0,0,0
21/03/1977,10.5,0,0,0,0,0,0
31/03/1977,9.5,0,0,0,0,0,0
01/04/1977,0,68147,0,0,0,0,0
12/04/1977,9.25,0,0,0,0,0,0
18/04/1977,9,0,0,0,0,0,0
25/04/1977,8.75,0,0,0,0,0,0
02/05/1977,8.25,0,0,0,0,0,0
16/05/1977,8,0,0,0,0,0,0
01/07/1977,0,70633,0,0,0,0,0
08/08/1977,7.5,0,0,0,0,0,0
15/08/1977,7,0,0,0,0,0,0
12/09/1977,6.5,0,0,0,0,0,0
19/09/1977,6,0,0,0,0,0,0
01/10/1977,0,74031,0,0,0,0,0
