Date,GDP (in Billions of USD),Inflation Rate,CPI,Un-employment Rate,Balance of Trade (Services in Millions of USD),Balance of Trade (Goods in Millions of USD),Balance of Trade (Net in Millions of USD)
01/01/1990,"5,963.10",5.40,0,5.60,0,0,0
01/01/1991,"6,158.10",4.20,0,6.80,0,0,0
01/01/1992,"6,520.30",3,140.30,7.50,4926,-6952,-2026
01/01/1993,"6,858.60",3,144.50,6.90,5130,-9001,-3871
01/01/1994,"7,287.20",2.60,148.20,6.10,4836,-11043,-6207
01/01/1995,"7,639.70",2.80,152.40,5.60,6238,-15562,-9324
01/01/1996,"8,073.10",3,156.90,5.40,6542,-15007,-8465
01/01/1997,"8,577.60",2.30,160.50,4.90,7186,-18455,-11269
01/01/1998,"9,062.80",1.60,163,4.50,7240,-18016,-10776
01/01/1999,"9,631.20",2.20,166.60,4.20,6493,-22369,-15876
01/01/2000,"10,251",3.40,172.20,4,6228,-33360,-27131
01/01/2001,"10,581.90",2.80,177.10,4.70,5552,-40753,-35202
01/01/2002,"10,929.10",1.60,179.90,5.80,4129,-33806,-29678
01/01/2003,"11,456.50",2.30,184,6,3526,-44682,-41156
01/01/2004,"12,217.20",2.70,188.90,5.50,4222,-48867,-44645
01/01/2005,"13,039.20",3.40,195.30,5.10,4993,-61181,-56189
01/01/2006,"13,815.60",3.20,201.60,4.60,5904,-72871,-66967
01/01/2007,"14,474.20",2.80,207.34,4.60,7762,-65776,-58014
01/01/2008,"14,769.90",3.80,215.30,5.80,10311,-71650,-61339
01/01/2009,"14,478.10",-0.40,214.54,9.30,7822,-47164,-39343
01/01/2010,"15,049",1.60,218.06,9.60,11332,-49076,-37744
01/01/2011,"15,599.70",3.20,224.94,8.90,14486,-62609,-48123
01/01/2012,"16,254",2.10,229.59,8.10,16609,-66735,-50126
01/01/2013,"16,843.20",1.50,232.96,7.40,20629,-60764,-40135
01/01/2014,"17,550.70",1.60,236.74,6.20,22388,-59821,-37433
01/01/2015,"18,206",0.10,237.02,5.30,23237,-62102,-38865
01/01/2016,"18,695.10",1.30,240.01,4.90,21478,-61523,-40044
01/01/2017,"19,477.30",2.10,245.12,4.40,22786,-66402,-43616
01/01/2018,"20,533.10",2.40,251.11,3.90,26874,-73682,-46809
01/01/2019,"21,381",1.80,255.66,3.70,23370,-72244,-48874
01/01/2020,"21,060.50",1.20,258.81,8.10,22866,-67223,-44357
01/01/2021,"23,315.10",4.70,270.97,5.30,22551,-86378,-63828
01/01/2022,"25,461.30",8,292.56,3.60,20342,-107860,-87518
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
