term,definition
GDP (in millions of GBP),"The total market value of all goods and services produced within a country in a given period, expressed in millions of British Pounds (GBP)."
Unemployment Rate (%),The percentage of the total labor force that is unemployed but actively seeking employment and willing to work.
Inflation Rate (%),"The percentage change in the average price level of a basket of selected goods and services in an economy over a period of time, often measured on a yearly basis."
CPI,"Consumer Price Index, a measure that examines the weighted average of prices of a basket of consumer goods and services. It is used as an indicator of inflation."
Trade Balance (Goods) (in millions of GBP),"The difference between a country's exports and imports of goods, expressed in millions of British Pounds (GBP). A positive balance indicates a trade surplus, while a negative balance indicates a trade deficit."
Trade Balance (Services) (in millions of GBP),"The difference between a country's exports and imports of services, expressed in millions of British Pounds (GBP). A positive balance indicates a trade surplus, while a negative balance indicates a trade deficit."
Trade Balance (Overall) (in millions of GBP),"The sum of the trade balance in goods and services, expressed in millions of British Pounds (GBP). A positive balance indicates a trade surplus, while a negative balance indicates a trade deficit."
Retail Sales (in millions of GBP),"The total revenue generated from retail sales of goods and services in a given period, expressed in millions of British Pounds (GBP)."
Housing Starts (Started),The number of new residential construction projects that have begun during a specified period.
Housing Starts (Completed),The number of new residential construction projects that have been completed during a specified period.
Federal Funds Rate,"The interest rate at which banks and other depository institutions lend money to each other, usually on an overnight basis, to maintain reserve requirements set by the central bank (e.g., Federal Reserve in the US)."
M2 Money Supply (in Billions of USD),"A measure of the money supply that includes cash, checking deposits, and easily-convertible near money (e.g., savings deposits, money market securities, and other forms of credit). Expressed in billions of U.S. dollars (USD)."
Borrowings from the Federal Reserve (in Billions of USD),"The total amount of money borrowed by banks and other financial institutions from the central bank (e.g., Federal Reserve in the US) during a specified period, expressed in billions of U.S. dollars (USD)."
Currency in Circulation (in Billions of USD),"The total value of physical currency (banknotes and coins) in circulation within an economy, expressed in billions of U.S. dollars (USD)."
GDP (in Billions of USD),"The total market value of all goods and services produced within a country in a given period, expressed in billions of U.S. dollars (USD)."
Inflation Rate,The percentage change in the average price level of a basket of selected goods and services in an economy over a period of time
CPI,"Consumer Price Index, a measure that examines the weighted average of prices of a basket of consumer goods and services. It is used as an indicator of inflation."
Un-employment Rate,The percentage of the total labor force that is unemployed but actively seeking employment and willing to work.
Balance of Trade (Services in Millions of USD),"The difference between a country's exports and imports of services, expressed in millions of U.S. dollars (USD). A positive balance indicates a trade surplus, while a negative balance indicates a trade deficit."
Balance of Trade (Goods in Millions of USD),"The difference between a country's exports and imports of goods, expressed in millions of U.S. dollars (USD). A positive balance indicates a trade surplus, while a negative balance indicates a trade deficit."
Balance of Trade (Net in Millions of USD),"The sum of the trade balance in goods and services, expressed in millions of U.S. dollars (USD). A positive balance indicates a trade surplus, while a negative balance indicates a trade deficit."
Base Interest Rate,"The main interest rate set by a country's central bank, used as a benchmark for lending rates and often used to control inflation and stabilize the economy."
Money Supply (in millions of GBP),"The total amount of monetary assets available in an economy at a specific time, expressed in millions of British Pounds (GBP). It includes various forms of money, such as cash, coins, and balances in checking and savings accounts."
Net Lending (Private Sector) (in millions of GBP),"The difference between new loans issued by private sector financial institutions and repayments made by borrowers during a specified period, expressed in millions of British Pounds (GBP). A positive figure indicates an expansion in credit, while a negative figure indicates a contraction."
Net Lending (Public Sector) (in millions of GBP),"The difference between new loans issued by public sector financial institutions and repayments made by borrowers during a specified period, expressed in millions of British Pounds (GBP). A positive figure indicates an expansion in credit, while a negative figure indicates a contraction."
Bond Issuance (in millions of GBP),"The total value of bonds issued by a government, corporation, or other entity during a specified period, expressed in millions of British Pounds (GBP). Bonds are debt securities that pay periodic interest and are used to raise capital."
Bond Repayment (in millions of GBP),"The total value of principal and interest payments made by a bond issuer to its bondholders during a specified period, expressed in millions of British Pounds (GBP)."
Change in Reserves (in millions of GBP),"The net change in the amount of foreign currency and other reserve assets held by a country's central bank during a specified period, expressed in millions of British Pounds (GBP). A positive change indicates an increase in reserves, which can be used to stabilize the exchange rate or for other purposes, while a negative change indicates a decrease in reserves."
